店名,網址,星級,評論,回復,地址
邑鐵板燒,https://www.google.com.tw/maps/place/%E9%82%91%E9%90%B5%E6%9D%BF%E7%87%92/data=!4m5!3m4!1s0x34693d1604754e0b:0xe3e1419eed52a22a!8m2!3d24.1348867!4d120.6887811?authuser=0&hl=zh-TW&rclk=1,4.5,799,"['190餐 有肉有魚 還有湯飲料甜點 沒什麼好挑剔的了，對小孩也很和善', '菲力牛排好吃，份量足夠，服務親切，CP值超高～', '吃過台中許多平價鐵板燒，邑是當之無愧的第一名。食材新鮮。價格公道。服務態度良好。']",401台中市東區大智路63號
瀚熙軒 新台菜飲茶餐廳,https://www.google.com.tw/maps/place/%E7%80%9A%E7%86%99%E8%BB%92+%E6%96%B0%E5%8F%B0%E8%8F%9C%E9%A3%B2%E8%8C%B6%E9%A4%90%E5%BB%B3/data=!4m5!3m4!1s0x34693d48ba631389:0x50825dc59978b9ad!8m2!3d24.141884!4d120.7014187?authuser=0&hl=zh-TW&rclk=1,4.8,859,"['東西有幾樣還蠻不錯的，推薦蟹黃蘆筍海鮮羹、明爐北鴨炒麵線和蒜香韭菜餅', '每樣餐點都很精緻，尤其是湯，生日可指定麵線和豬腳！超貼心，服務超好！', '鴨鬆軟嫩Q彈,生菜很大片,建議可以用筷子撕成2片來包裹內餡,份量比較剛好。']",401台中市東區旱溪東路一段456號2樓
花蓮瑞穗臭豆腐 自由店,https://www.google.com.tw/maps/place/%E8%8A%B1%E8%93%AE%E7%91%9E%E7%A9%97%E8%87%AD%E8%B1%86%E8%85%90+%E8%87%AA%E7%94%B1%E5%BA%97/data=!4m5!3m4!1s0x34693d41b9df7f93:0xd6e0eec35292111b!8m2!3d24.143012!4d120.690463?authuser=0&hl=zh-TW&rclk=1,4.4,2348,"['桌上有蒜泥 辣椒醬 都不錯 可加 當天的湯是 味增海帶湯 隨你喝 台中天氣真好', '阿姨推薦才來吃的，炸的滿好吃，生意很好～泡菜是台式的，口味酸，很順口', '超讚，出爐豆腐又酥又脆，外帶口感會弱掉，建議內用，紅茶，湯頭免費提供']",401台中市東區自由路三段151號
小旬湯-樂農鑄鐵鍋 太平店,https://www.google.com.tw/maps/place/%E5%B0%8F%E6%97%AC%E6%B9%AF-%E6%A8%82%E8%BE%B2%E9%91%84%E9%90%B5%E9%8D%8B+%E5%A4%AA%E5%B9%B3%E5%BA%97/data=!4m5!3m4!1s0x34693db33e0bd3d5:0x3a08e211c8a9d2a8!8m2!3d24.1421178!4d120.708591?authuser=0&hl=zh-TW&rclk=1,4.5,737,"['選擇多樣優質服務 火鍋湯頭佳 冰淇淋也不錯 活動招待肉片海鮮任君挑選 一吃成主顧', '服務態度親切有禮 日式裝潢很美～ 生日壽星還有特別禮物 非常用心的店家', '食材新鮮，份量很夠，店內裝潢氣氛非常棒！用餐時間幾乎客滿，會再次去用餐。']",401台中市東區十甲東路602號
北村豆腐家 台中站前秀泰店,https://www.google.com.tw/maps/place/%E5%8C%97%E6%9D%91%E8%B1%86%E8%85%90%E5%AE%B6+%E5%8F%B0%E4%B8%AD%E7%AB%99%E5%89%8D%E7%A7%80%E6%B3%B0%E5%BA%97/data=!4m5!3m4!1s0x34693d407b0d8dd7:0x8e45ea0bd6bb9776!8m2!3d24.1405776!4d120.689814?authuser=0&hl=zh-TW&rclk=1,4.2,953,"['服務人員親切，鍋物湯底略鹹，不會太辣，小菜也不錯，餐後有香蕉牛奶冰淇淋。', '用餐環境乾淨整潔，服務優良，餐點道地，小菜無限續，推BBQ拌飯/韓式炸雞!', '還不錯，原本附的配飯棒，可以不用多花錢換成麵；另外部隊鍋很划算，鍋裡還有麵']",401台中市東區南京路76號2樓
傳台中正老牌香菇肉羹復興店,https://www.google.com.tw/maps/place/%E5%82%B3%E5%8F%B0%E4%B8%AD%E6%AD%A3%E8%80%81%E7%89%8C%E9%A6%99%E8%8F%87%E8%82%89%E7%BE%B9%E5%BE%A9%E8%88%88%E5%BA%97/data=!4m5!3m4!1s0x34693d169fee313b:0x31fbeaf6e5917aa7!8m2!3d24.1353394!4d120.6847909?authuser=0&hl=zh-TW&rclk=1,4.2,687,"['東西好吃又不貴;服務的店員每個都很客氣°加豬油的炒青菜和肉焿麵，滷蛋更是一絕', '古早味，肉羹飯.肉燥飯.控肉飯..好吃平價，還附贈好喝蘿蔔清湯', '店家說稍等，然後用湯瓢裝醋，從餐車台一路到座位，直接加入肉羹麵裡面']",401台中市東區復興路四段79號
開丼 燒肉vs丼飯 台中秀泰店,https://www.google.com.tw/maps/place/%E9%96%8B%E4%B8%BC+%E7%87%92%E8%82%89vs%E4%B8%BC%E9%A3%AF+%E5%8F%B0%E4%B8%AD%E7%A7%80%E6%B3%B0%E5%BA%97/data=!4m5!3m4!1s0x34693d4093d0be8f:0x2e91b73ff20b8707!8m2!3d24.1402349!4d120.6896304?authuser=0&hl=zh-TW&rclk=1,4.5,2253,"['味噌湯、玄米茶、檸檬茶、飯可續加，紅豆紫米粥好喝，燒肉飯偏油，飯偏硬，服務好', '以這個價錢來說，真的很小碗，照片跟實際差很大，口味普通，湯跟飲料品質像自助餐店。', '上次點的是燒肉套餐和兩個小菜(雞軟骨丸子跟明太子烤薯餅）都很好吃']",401台中市東區南京路76號2F
圓砌鴛鴦升降鍋物 台中新時代店,https://www.google.com.tw/maps/place/%E5%9C%93%E7%A0%8C%E9%B4%9B%E9%B4%A6%E5%8D%87%E9%99%8D%E9%8D%8B%E7%89%A9+%E5%8F%B0%E4%B8%AD%E6%96%B0%E6%99%82%E4%BB%A3%E5%BA%97/data=!4m5!3m4!1s0x34693d1dccdb5d3f:0x775d3a0a4bdde1fe!8m2!3d24.1359999!4d120.6874752?authuser=0&hl=zh-TW&rclk=1,4.8,584,"['升降的火鍋非常有特色，食材豐富，有自助區域（爆米花、多種飲料、冰淇淋）很棒。', '點了雙人套餐，份量極少 菜盤約單人份量 肉片薄得跟衛生紙一樣 海鮮普通 不推！', '湯底很好喝～肉很好吃！服務也很棒！推薦大家來吃哦～～～還有巧克力棉花糖跟咖喱飯！']",40144台中市東區復興路四段186號11樓
精武路菜脯雞,https://www.google.com.tw/maps/place/%E7%B2%BE%E6%AD%A6%E8%B7%AF%E8%8F%9C%E8%84%AF%E9%9B%9E/data=!4m5!3m4!1s0x34693d4525adc971:0xf42974ee85f1b5a1!8m2!3d24.147811!4d120.6951921?authuser=0&hl=zh-TW&rclk=1,4.3,1488,"['雞湯種類眾多，湯頭濃郁，可加湯、加飯自助無限量，好友聚會好去處.....', '餐點都不錯吃 只是偶而會遇到食材不新鮮問題 店員的服務都很熱情很棒唷', '最喜歡蒜頭雞 鳳梨苦瓜雞 還有店家都會招待的小魚花生 好吃！']",401台中市東區精武路65號
新林海鮮餐廳自由店,https://www.google.com.tw/maps/place/%E6%96%B0%E6%9E%97%E6%B5%B7%E9%AE%AE%E9%A4%90%E5%BB%B3%E8%87%AA%E7%94%B1%E5%BA%97/data=!4m5!3m4!1s0x34693d4f3691616b:0x1ca3ecac53c23b88!8m2!3d24.1428271!4d120.7021821?authuser=0&hl=zh-TW&rclk=1,4.2,2662,"['麻油雞值得推，很優 生魚片很鮮 鹹酥蝦鹹鮮香 烏魚蒜也湯鮮味美 菜的份量很夠👍', '昨天朋友辦桌 出菜速度快 菜色好 食材很新鮮 師傅煮的也很好吃 算是一流的台菜', '原址在北屯區文心路4段 現擴大營業 料理獨特 CP值高 好停車']",401台中市東區自由路四段205號
鼎高段素食館,https://www.google.com.tw/maps/place/%E9%BC%8E%E9%AB%98%E6%AE%B5%E7%B4%A0%E9%A3%9F%E9%A4%A8/data=!4m5!3m4!1s0x34693d3d63d5b173:0xea51d12564235575!8m2!3d24.130915!4d120.6892166?authuser=0&hl=zh-TW&rclk=1,4.2,644,"['臭豆腐鍋也不錯，裡面有4塊臭豆腐 湯頭有酸菜高麗菜吃起來夠味啦！', '有特色的素食料理，米糕，香椿炒飯，九尾湯等。', '少見的素食快炒店，東西好吃，出餐速度快，特別喜歡他們的臭臭鍋。店門前還有停車位。']",401台中市東區建成路709號
吉蜂蒸餃,https://www.google.com.tw/maps/place/%E5%90%89%E8%9C%82%E8%92%B8%E9%A4%83/data=!4m5!3m4!1s0x34693d3d8d5de3ad:0xa8523685a9092c26!8m2!3d24.133047!4d120.6896976?authuser=0&hl=zh-TW&rclk=1,4.2,935,"['蒸餃皮Q嫩、內餡口感肉質軟。酸辣湯好喝。大智路本店是老店，比加盟店的品質穩定。', '前台女生服務生生意好不缺客人，會推薦朋友不要吃。', '上菜的速度真的很快，即使現場認真的還多，露天的座位，夏天去吃會有點熱。']",401台中市東區大智路121號
養鍋東區東英店,https://www.google.com.tw/maps/place/%E9%A4%8A%E9%8D%8B%E6%9D%B1%E5%8D%80%E6%9D%B1%E8%8B%B1%E5%BA%97/data=!4m5!3m4!1s0x34693d4e782c7efb:0xbbf746316d095aa5!8m2!3d24.144746!4d120.705952?authuser=0&hl=zh-TW&rclk=1,4.5,1328,"['菜盤居多新鮮食材 不多火鍋料 很棒 當月壽星可以贈送一份肉或海鮮', '終於在住家附近有一家CP值高的火鍋店 肉多、料多、湯頭好喝 很怕推薦後更難預約了', '海鮮鍋加肉片cp值頗高，肉片份量充足，服務親切，環境管理好優良']",401台中市東區東英路591號
自由小火鍋,https://www.google.com.tw/maps/place/%E8%87%AA%E7%94%B1%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m5!3m4!1s0x34693d4c3c3a0ffd:0x65e62205e8e134cd!8m2!3d24.1429078!4d120.7070843?authuser=0&hl=zh-TW&rclk=1,4.1,1609,"['299元自助吃到飽，食材多樣，鮮蝦、鯛魚片大量供應，飯後有冰棒、冰淇淋，咖啡', '没有蚵仔，蛤仔，牛肉羊肉冷凍無新鮮， 菜色平平，價錢中下，可接受。', '薯條，滷肉飯，飲料，各種火鍋料，肉，菜299隨便拿吃到飽。大胃王推薦來試試']",401台中市東區自由路四段387號
珍品小吃,https://www.google.com.tw/maps/place/%E7%8F%8D%E5%93%81%E5%B0%8F%E5%90%83/data=!4m5!3m4!1s0x34693d75902d0afd:0x8c2efdd791f79bd0!8m2!3d24.1483916!4d120.666776?authuser=0&hl=zh-TW&rclk=1,4.1,748,"['台中傳統早餐，天氣冷時喝碗芋頭米粉是最好的早餐了，炒麵、綜合湯、小菜都在水準之上', '古早味，餐點不錯，但員工送錯餐被老闆罵，現場氣氛不好，讓我不想再去。', '超推米粉芋！芋二塊，細綿綿而不爛，湯頭濃郁，軟豆腐也好吃！加辣椒醬油增味！']",403台中市西區模範街20-1號
馨苑小料理※模範官邸,https://www.google.com.tw/maps/place/%E9%A6%A8%E8%8B%91%E5%B0%8F%E6%96%99%E7%90%86%E2%80%BB%E6%A8%A1%E7%AF%84%E5%AE%98%E9%82%B8/data=!4m5!3m4!1s0x34693d08826170e5:0xa7f103487b30f6c3!8m2!3d24.1480773!4d120.6682746?authuser=0&hl=zh-TW&rclk=1,4.8,2173,"['芋頭鴨卷，裡面有芋泥鹹蛋黃鴨肉，外皮酥脆，內餡濃郁好吃！小魚干真的一定要嚐嚐', '特地從屏東慕名而來，芋奶雞、炒大腸、小魚乾辣椒、酸菜豬肚湯、咖啡 超推！！！', '環境舒適，料理好吃，店員服務態度佳的台菜餐廳～ 餐盤很復古，很有阿嬤的味道😆']",403台中市西區民生北路106號
石研室 台式爆炒石頭火鍋 - 台中勤美店,https://www.google.com.tw/maps/place/%E7%9F%B3%E7%A0%94%E5%AE%A4+%E5%8F%B0%E5%BC%8F%E7%88%86%E7%82%92%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E4%B8%AD%E5%8B%A4%E7%BE%8E%E5%BA%97/data=!4m5!3m4!1s0x34693d9e576c13c5:0x3c0b2fb9a1735132!8m2!3d24.1489246!4d120.6631676?authuser=0&hl=zh-TW&rclk=1,4.4,3281,"['湯頭不錯，牛肉普通，朋友點的海陸鍋很有誠意，海鮮滿滿，醬料區很乾淨，文青風火鍋店', '份量夠、菜盤可以無限續量，超讚阿👍 很好拍照的地方，店員都有桌邊服務，幫忙炒肉！', '食材新鮮，服務好，空間舒適，好停車。建議先訂位，用餐後可以在市民廣場散散步～']",403台中市西區公正路99號
出一張嘴,https://www.google.com.tw/maps/place/%E5%87%BA%E4%B8%80%E5%BC%B5%E5%98%B4/data=!4m5!3m4!1s0x34693d766d58ff25:0x8599d3523a1c9f27!8m2!3d24.1507418!4d120.6674613?authuser=0&hl=zh-TW&rclk=1,4.1,2341,"['超蝦 牛排 雪花豬 牛五花 不錯 推薦 裡面的服務生服務也非常棒', '冰淇淋種類多，有四大品牌（明治、莫凡彼、畢卡索、泰國） 肉片很厚實，食材不馬虎', '台中CP值最高的平價燒烤吃到飽，食材種類多，品質和服務還OK，環境比較差一些']",403台中市西區公益路77號
小園迷你火鍋—Since1991,https://www.google.com.tw/maps/place/%E5%B0%8F%E5%9C%92%E8%BF%B7%E4%BD%A0%E7%81%AB%E9%8D%8B%E2%80%94Since1991/data=!4m5!3m4!1s0x34693d9f1ed5086b:0xd06ac9407bc96ced!8m2!3d24.1485268!4d120.661498?authuser=0&hl=zh-TW&rclk=1,4.3,612,"['迷你牛肉鍋外加單點牛肉，沾醬有香菜可選擇，菜盤的香菇貢丸及芋頭很好吃！', '店員很專業的幫你調整火候，大推燒酒雞，全酒的酒香非常棒，肉和海鮮都在水準之上！', '台北到台中，必吃的好地方，半夜服務人員服務周到，吃的很開心，湯好味美讓人心情好。']",403台中市西區美村路一段234號
FORE restaurant 柴燒牛排,https://www.google.com.tw/maps/place/FORE+restaurant+%E6%9F%B4%E7%87%92%E7%89%9B%E6%8E%92/data=!4m5!3m4!1s0x34693da8f04cb097:0x92e677803d034fc4!8m2!3d24.1333711!4d120.6624991?authuser=0&hl=zh-TW&rclk=1,4.4,1330,"['餐點美味 擺盤精緻 服務生態度很棒 介紹詳細 空間氣氛很棒 唯獨音樂太小聲', '外面的樹加分 肉普通 薯條好吃 甜點奇怪 停車場車大燈一直往裡面照，店家沒去阻止', '好吃肉質美食小吃部眾多人喜歡慶祝生日野餐券賣出多彩多姿稱讚美食節奏感受訪客']",403台中市西區五權西四街170號
小鴨片,https://www.google.com.tw/maps/place/%E5%B0%8F%E9%B4%A8%E7%89%87/data=!4m5!3m4!1s0x34693d81fe95332f:0x515ce2a573daaa6e!8m2!3d24.1392121!4d120.6574779?authuser=0&hl=zh-TW&rclk=1,4.2,964,"['外帶式美食適合家庭聚餐、朋友聚會，烤鴨味道很棒很好吃，鹽酥口味的ㄚ架也超級香。', '鹹酥鴨架、酸菜鴨架湯都超讚，小菜也很下酒', '品牌形象、店面裝潢、產品設計很用心也很厲害！']",403台中市西區五權一街117號
台北小排飯,https://www.google.com.tw/maps/place/%E5%8F%B0%E5%8C%97%E5%B0%8F%E6%8E%92%E9%A3%AF/data=!4m5!3m4!1s0x34693d079034545d:0x79c1ae37ff0ba8e4!8m2!3d24.1322735!4d120.6668865?authuser=0&hl=zh-TW&rclk=1,4.2,1346,"['主菜種類繁多，生意很好，副菜也不錯吃，有熱湯及冰飲料，室內冷氣強，用餐環境舒服。', '雞排飯（雞腿、排骨）85元 菜色豐富，白飯只有一碗，有甜湯可以使用', '台中來講便當算中上價格，但份量足配菜好吃，利用位置不多，而且附近難停車算是缺點']",403台中市西區南屯路一段34號
民生路無名豆花,https://www.google.com.tw/maps/place/%E6%B0%91%E7%94%9F%E8%B7%AF%E7%84%A1%E5%90%8D%E8%B1%86%E8%8A%B1/data=!4m5!3m4!1s0x34693d74d2a003b5:0xad5b7afff3f34ac8!8m2!3d24.14441!4d120.6698198?authuser=0&hl=zh-TW&rclk=1,4.5,1415,"['3、料有：紅豆、綠豆、軟花生、薏仁、珍珠、芋圓。', '銅板美食，便宜大碗，是教育大學學生的最愛', '可以diy選取所要加的配料量，生意很好，炎熱夏天清涼消暑的好選擇。']",403台中市西區五權路29號騎樓下
十二月 粥品 • 茶飲 • 私房菜• 健行店,https://www.google.com.tw/maps/place/%E5%8D%81%E4%BA%8C%E6%9C%88+%E7%B2%A5%E5%93%81+%E2%80%A2+%E8%8C%B6%E9%A3%B2+%E2%80%A2+%E7%A7%81%E6%88%BF%E8%8F%9C%E2%80%A2+%E5%81%A5%E8%A1%8C%E5%BA%97/data=!4m5!3m4!1s0x34693d764f81b4ab:0x5b236c2f5f63511a!8m2!3d24.1563172!4d120.6632164?authuser=0&hl=zh-TW&rclk=1,4.2,2780,"['超推麻辣水煮魚、蟹黃海鮮豆腐煲、清炒野水蓮、咖哩無骨雞', '餐點的粥不錯吃，抹茶包尚可。附近機車停車位多，店家外觀蠻美的，用餐環境整潔。', '每道菜都好吃，老屋改造的餐廳氣氛很棒，建議先訂位，他們的生意真的很好！']",403台中市西區健行路1041號
輕井澤 公益店,https://www.google.com.tw/maps/place/%E8%BC%95%E4%BA%95%E6%BE%A4+%E5%85%AC%E7%9B%8A%E5%BA%97/data=!4m5!3m4!1s0x34693d976353e04d:0x41e2ebb574f91b07!8m2!3d24.1511883!4d120.6540975?authuser=0&hl=zh-TW&rclk=1,4.4,9373,"['火鍋料種類豐富，肉質好，湯頭優，附紅茶可續杯，餐後有冰沙，服務好也無強迫服務費', '平價火鍋，物美價廉，適合各種聚餐，食材新鮮，湯底清爽，服務佳，店內裝潢有氣氛。', '裝潢超讚 裡面一樓有水池 東西好吃 Cp值高 孜然麻辣超好吃 有夠香']",403台中市西區公益路276號
堡彪專業美式漢堡,https://www.google.com.tw/maps/place/%E5%A0%A1%E5%BD%AA%E5%B0%88%E6%A5%AD%E7%BE%8E%E5%BC%8F%E6%BC%A2%E5%A0%A1/data=!4m5!3m4!1s0x34693d72d3ba53cd:0xe925b1fca6d394b0!8m2!3d24.1454955!4d120.6715528?authuser=0&hl=zh-TW&rclk=1,4.5,1627,"['份量極大，飲料可以無限續，雞、牛肉都非常多汁，店內的裝潢也很有特色', '人員服務還不錯，食材也可，重點是飲料可續杯，還不限續同種飲品。超棒的', '培根烤雞堡好好吃，烤雞鮮嫩多汁、培根有嚼勁、生菜番茄起士的湯汁也要吸乾才滿足']",403台中市西區五權路40號
城里城外 巫山烤魚,https://www.google.com.tw/maps/place/%E5%9F%8E%E9%87%8C%E5%9F%8E%E5%A4%96+%E5%B7%AB%E5%B1%B1%E7%83%A4%E9%AD%9A/data=!4m5!3m4!1s0x34693d9ee9777091:0x6583dc5c1f53367e!8m2!3d24.1496553!4d120.6617368?authuser=0&hl=zh-TW&rclk=1,4.5,1072,"['餐點相當好吃，地點位於勤美商圈附近，交通也方便，氣氛良好。', '怪味對我來說還是太辣，下次還是會再來吃酸菜口味。服務人員介紹詳細也服務的非常棒！', '魚已經失去鮮度，食材普通，只有吳郭魚是用活魚下去烤ˋ，CP 值低不值得再去']",403台中市西區中興里美村路一段211號
六六順牛肉麵,https://www.google.com.tw/maps/place/%E5%85%AD%E5%85%AD%E9%A0%86%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m5!3m4!1s0x34693d079cb3b109:0x2a15c1078461536f!8m2!3d24.1321018!4d120.6667347?authuser=0&hl=zh-TW&rclk=1,4.2,1339,"['好吃！菜單品項牛肉麵、牛肉湯麵，榨菜肉絲麵，小菜推薦豬頭皮跟花生！店隔壁有五十嵐', '湯頭跟麵條蠻推薦的，牛肉的部分就還好，附近很難停車，建議騎機車前往', '人很多需要跟別人併桌，動線蠻不清楚的，不知道該在哪點餐付帳。']",403台中市西區南屯路一段19號
hoyo Cafe,https://www.google.com.tw/maps/place/hoyo+Cafe/data=!4m5!3m4!1s0x34693da722b9c3f5:0xc9633613c21ff531!8m2!3d24.1389317!4d120.6637506?authuser=0&hl=zh-TW&rclk=1,4.1,1013,"['國王餐 可吃到雞串燒 鮮嫩的牛排 亦可選擇沙拉或薯條 很超值的餐點', '國王早餐份量足cp值高，帕里尼熱壓吐司超讚，疫情中只能外帶，帶回家一樣美味！', '餐點份量足，用料實在，濃湯很夠味；博士茶去冰無糖（有加蜂蜜，仍有小碎冰）好喝。']",403台中市西區五權西二街34號
深紅（昇鴻）汕頭鍋物,https://www.google.com.tw/maps/place/%E6%B7%B1%E7%B4%85%EF%BC%88%E6%98%87%E9%B4%BB%EF%BC%89%E6%B1%95%E9%A0%AD%E9%8D%8B%E7%89%A9/data=!4m5!3m4!1s0x34693da6662680b7:0x565afe97db636dc4!8m2!3d24.137435!4d120.661455?authuser=0&hl=zh-TW&rclk=1,4.7,2270,"['海產新鮮 牛肉種類部位 尹比利猪 雞肉任君挑選 擺盤精緻 外場服務人員親切專業。', '控 #火鍋推薦#台中火鍋#火鍋#海鮮#和牛#龍蝦#大餐 #美食#小伊吃起來', '服務好 肉質新鮮 份量夠 cp值高 生意好建議提前預約👍👍👍👍👍👍👍冷氣夠涼']",403台中市西區美村路一段602號
嵐山熟成牛かつ專売-台中西區健行店,https://www.google.com.tw/maps/place/%E5%B5%90%E5%B1%B1%E7%86%9F%E6%88%90%E7%89%9B%E3%81%8B%E3%81%A4%E5%B0%88%E5%A3%B2-%E5%8F%B0%E4%B8%AD%E8%A5%BF%E5%8D%80%E5%81%A5%E8%A1%8C%E5%BA%97/data=!4m5!3m4!1s0x34693dd715c76d49:0x65f1385221a79e5b!8m2!3d24.156145!4d120.662604?authuser=0&hl=zh-TW&rclk=1,4.8,3540,"['用餐環境舒適、餐具乾淨。照燒帶骨牛小排、漢堡肉口味偏鹹，不合口味，女廁空間狹小。', '牛肉好吃，品質很好，味噌湯令人驚艷。環境整潔，男店員服務到位，女店員親切貌美。', '炸牛排，很特別的餐點，附餐有飯、湯、醬料、高麗菜絲。']",403台中市西區健行路1058號
屋馬燒肉園邸店,https://www.google.com.tw/maps/place/%E5%B1%8B%E9%A6%AC%E7%87%92%E8%82%89%E5%9C%92%E9%82%B8%E5%BA%97/data=!4m5!3m4!1s0x34693d7603fec9e9:0xe092c61a5b0c9ca4!8m2!3d24.1507144!4d120.6663442?authuser=0&hl=zh-TW&rclk=1,4.5,7478,"['胡麻沙拉/小菜/海鮮粥/肉/服務品質都值得推薦 桌邊撥蝦服務很讚', '全台最好吃燒肉沒有之一 環境氣氛與員工品質都非常高 男的帥女的美 東西又好吃', '肉質、海鮮、沙拉、飲品、甜點、雞湯、粥全都不馬虎，對的住這個價位。']",403台中市西區公益路111號
春丸餐包製作所 本舖 (未開放，請至春丸街辺店用餐),https://www.google.com.tw/maps/place/%E6%98%A5%E4%B8%B8%E9%A4%90%E5%8C%85%E8%A3%BD%E4%BD%9C%E6%89%80+%E6%9C%AC%E8%88%96+(%E6%9C%AA%E9%96%8B%E6%94%BE%EF%BC%8C%E8%AB%8B%E8%87%B3%E6%98%A5%E4%B8%B8%E8%A1%97%E8%BE%BA%E5%BA%97%E7%94%A8%E9%A4%90)/data=!4m5!3m4!1s0x34693da5c2f931e7:0x611ee44b64374ab6!8m2!3d24.1373802!4d120.6593537?authuser=0&hl=zh-TW&rclk=1,4.3,564,"['餐包油漬鮪魚大推，咖哩醬料獨特口感，位置巷中巷，又安靜，環境好', '巷弄老屋內的手作餐包店 一進門即滿滿的麵香 餐包口味選擇多 內用座位不多', '必點檸檬派餡😋套餐內的優格加上店家自製奇異果醬很好吃。']",403台中市西區五權西五街88巷32號
路德威手工啤酒餐廳-戶外婚禮/婚禮場地/外燴/buffet,https://www.google.com.tw/maps/place/%E8%B7%AF%E5%BE%B7%E5%A8%81%E6%89%8B%E5%B7%A5%E5%95%A4%E9%85%92%E9%A4%90%E5%BB%B3-%E6%88%B6%E5%A4%96%E5%A9%9A%E7%A6%AE%2F%E5%A9%9A%E7%A6%AE%E5%A0%B4%E5%9C%B0%2F%E5%A4%96%E7%87%B4%2Fbuffet/data=!4m5!3m4!1s0x34693d766147bcf9:0x65bdaea69a2724e0!8m2!3d24.1509838!4d120.6682471?authuser=0&hl=zh-TW&rclk=1,4.4,1099,"['還不錯，適合聚會的地方，要吃豬腳建議點拼盤，單點豬腳份量不多。', '不錯的CP值， 雙人套餐蠻值得推薦的， 豬肋排很好吃，推薦。', '整體而言，空間的營造舒適，氣氛營造優異，為動線、流程設計上有改善空間。']",403台中市西區公益路36號
SUN BERNO光焙若蔬食,https://www.google.com.tw/maps/place/SUN+BERNO%E5%85%89%E7%84%99%E8%8B%A5%E8%94%AC%E9%A3%9F/data=!4m5!3m4!1s0x34693dbd7c955fbd:0x59163a0eb33cb60d!8m2!3d24.1454632!4d120.6640683?authuser=0&hl=zh-TW&rclk=1,4.2,937,"['章魚燒披薩&印度咖哩烤餅好吃大推 燉飯太湯，青醬義大利麵沒什麼特色', '松露燉飯、黑糖肉桂薄餅佐蘋果醬很好吃，墨魚麵用的是海苔醬口味也不錯蠻特別的。', '輕鬆悠閒的氣氛，簡單料理發揮食材的原味，適合早中晚餐的輕食店⋯']",403台中市西區向上路一段79巷50號
菜豚屋精誠店,https://www.google.com.tw/maps/place/%E8%8F%9C%E8%B1%9A%E5%B1%8B%E7%B2%BE%E8%AA%A0%E5%BA%97/data=!4m5!3m4!1s0x34693d9afd7ed867:0x25b10f89ff5ad31d!8m2!3d24.1555186!4d120.6573253?authuser=0&hl=zh-TW&rclk=1,4.4,1609,"['價位還算合理，套餐份量大！建議單點 可以吃到較多喜歡的食材！生菜給的份量足夠', '店員是來搭訕客人的還是服務客人 都搞不清楚狀況了 店員只夾肉給同桌女性友人 。', '很好吃的日韓式烤肉 服務人員態度親切 最後還有愛心炒飯 是很值得造訪嚐鮮的好地方']",403台中市西區精誠五街19號
RISO RISO 里頌地中海餐酒館,https://www.google.com.tw/maps/place/RISO+RISO+%E9%87%8C%E9%A0%8C%E5%9C%B0%E4%B8%AD%E6%B5%B7%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m5!3m4!1s0x34693d9f93d95f51:0x47b37ec1697cf280!8m2!3d24.1453906!4d120.6641973?authuser=0&hl=zh-TW&rclk=1,4.3,885,"['又有話題介紹台灣的特色！難得台中有這樣有氣質的地方呀～可以小酌，很棒的用餐環境！', '氣氛很好 有種去國外餐廳的氛圍 讓我為之一亮的是魷魚生菜沙拉非常好吃', '主食義大利麵 燉飯都好吃 老闆娘親自坐鎮招呼 下午也有營業供應正餐午茶']",403台中市西區向上路一段79巷56號
陳記蚵仔麵線,https://www.google.com.tw/maps/place/%E9%99%B3%E8%A8%98%E8%9A%B5%E4%BB%94%E9%BA%B5%E7%B7%9A/data=!4m5!3m4!1s0x34693d0bf7de471f:0x56aa3af387ce4578!8m2!3d24.1391547!4d120.6720542?authuser=0&hl=zh-TW&rclk=1,4.1,783,"['配料有入味大腸，肉羹，吃起來口感都不會太爛，麵線有待加強', '要號碼牌 拿到後先找座位 等老闆叫號點餐付錢', '太多人了！很忙，沒辦法招呼客人，菜單常會搞錯，']",403台中市西區自立街21-1號
明森宇治抹茶日本咖啡專賣店,https://www.google.com.tw/maps/place/%E6%98%8E%E6%A3%AE%E5%AE%87%E6%B2%BB%E6%8A%B9%E8%8C%B6%E6%97%A5%E6%9C%AC%E5%92%96%E5%95%A1%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m5!3m4!1s0x34693da48faf88fd:0xdc47d552b36e3a61!8m2!3d24.1409755!4d120.6567311?authuser=0&hl=zh-TW&rclk=1,4.3,1020,"['就平平 份量正常 唐揚雞 雞腿套餐口味都略偏鹹 甜點價位偏高 服務人員態度親切', '氣氛很不錯的抹茶店！全店以木式建築還有個日式庭院作為室外用餐區，很令人悠閒放鬆。', '海鮮丼赤身新鮮度高， 魚肉油脂豐潤， 醋飯米粒軟硬適中， 餐後甜點地道京都味。']",403台中市西區存中街161巷1號
